,time,id,x,y,speed,east,north,coor,sinr,site
0,0,0,1874.63,956.74,0.0,386122,6671521,3861226671521,16.8259,12
1,1,0,1873.22,958.49,2.32,386120,6671523,3861206671523,21.0978,12
2,1,1,1178.05,1045.72,0.0,385425,6671610,3854256671610,11.8288,1
3,1,10,1395.71,1318.44,0.0,385643,6671883,3856436671883,4.9797,7
4,1,11,2041.54,1307.11,0.0,386289,6671871,3862896671871,11.1456,3
5,1,12,1121.88,1132.42,0.0,385369,6671697,3853696671697,5.4971,8
6,1,13,1486.1,604.53,0.0,385733,6671169,3857336671169,12.2212,9
7,1,14,1223.05,690.3,0.0,385470,6671255,3854706671255,11.0560,11
8,1,15,1401.24,1015.91,0.0,385648,6671580,3856486671580,3.4650,2
9,1,16,1322.02,841.35,0.0,385569,6671406,3855696671406,11.8704,9
10,1,17,1109.31,833.18,0.0,385356,6671398,3853566671398,6.4670,11
11,1,18,1374.79,1523.14,0.0,385622,6672087,3856226672087,7.5410,10
12,1,19,1945.88,1061.5,0.0,386193,6671626,3861936671626,17.7026,12
13,1,2,1971.04,1316.74,0.0,386218,6671881,3862186671881,16.0819,3
14,1,20,1860.85,755.5,0.0,386108,6671320,3861086671320,16.0121,6
15,1,21,1765.51,903.47,0.0,386013,6671468,3860136671468,4.3726,12
16,1,22,1487.16,1362.46,0.0,385734,6671927,3857346671927,9.3533,10
17,1,23,1965.59,1346.66,0.0,386213,6671911,3862136671911,11.9791,12
18,1,24,1531.54,1111.12,0.0,385779,6671675,3857796671675,11.0767,7
19,1,25,1006.14,1052.3,0.0,385253,6671617,3852536671617,7.7924,1
20,1,26,1755.75,906.39,0.0,386003,6671471,3860036671471,4.5608,2
21,1,27,1865.05,1220.96,0.0,386112,6671785,3861126671785,9.5060,3
22,1,28,1606.88,1021.41,0.0,385854,6671586,3858546671586,18.5752,2
23,1,29,1258.62,927.25,0.0,385506,6671492,3855066671492,2.3239,9
24,1,3,1721.16,764.05,0.0,385968,6671328,3859686671328,32.1876,6
