time,id,x,y,0,1,2,3,4,5,6,7,8
0,0,0.0,386122.0,-66.09,-49.8,-31.75,-18.05,-25.36,-42.26,30.62,-27.96,-31.46
1,1,2.32,386120.0,-64.83,-49.87,-31.55,-18.38,-28.49,-42.84,31.0,-26.17,-31.47
2,1,0.0,385425.0,-62.54,-47.2,-28.62,-15.97,-27.33,-40.09,28.01,-20.2,-28.89
3,1,0.0,385643.0,-61.76,-46.05,-27.21,-15.08,-27.21,-38.53,25.01,-13.79,-28.31
4,1,0.0,386289.0,-67.36,-44.47,-25.38,-13.74,-26.4,-37.04,23.7,-12.55,-26.42
0,0,0.0,386122.0,-66.09,-49.8,-31.75,-18.05,-25.36,-42.26,30.62,-27.96,-31.46
1,1,2.32,386120.0,-64.83,-49.87,-31.55,-18.38,-28.49,-42.84,31.0,-26.17,-31.47
2,1,0.0,385425.0,-62.54,-47.2,-28.62,-15.97,-27.33,-40.09,28.01,-20.2,-28.89
3,1,0.0,385643.0,-61.76,-46.05,-27.21,-15.08,-27.21,-38.53,25.01,-13.79,-28.31
4,1,0.0,386289.0,-67.36,-44.47,-25.38,-13.74,-26.4,-37.04,23.7,-12.55,-26.42
5,1,0.0,385369.0,-67.86,-45.84,-26.51,-15.38,-28.39,-37.23,25.98,-15.51,-27.71
6,1,0.0,385733.0,-65.88,-44.52,-25.73,-14.29,-27.58,-36.08,26.54,-19.77,-25.78
7,1,0.0,385470.0,-64.78,-43.44,-25.13,-13.45,-26.97,-37.54,26.14,-21.82,-24.61
8,1,0.0,385648.0,-67.25,-45.94,-23.33,-16.2,-29.32,-39.39,28.6,-26.14,-27.01
9,1,0.0,385569.0,-66.47,-45.19,-22.32,-15.68,-27.65,-38.42,26.74,-26.56,-18.05
10,1,0.0,385356.0,-66.15,-44.48,-21.19,-14.86,-26.42,-35.93,26.1,-26.69,-17.97
11,1,0.0,385622.0,-65.66,-43.8,-20.73,-16.11,-25.0,-34.19,26.56,-26.65,-17.93
12,1,0.0,386193.0,-64.99,-43.15,-22.11,-16.01,-22.9,-36.65,27.57,-26.52,-23.41
13,1,0.0,386218.0,-61.54,-39.74,-17.1,-12.37,-18.58,-33.17,23.62,-23.58,-19.73
14,1,0.0,386108.0,-60.64,-39.07,-17.25,-11.75,-16.85,-31.42,22.89,-22.49,-18.73
15,1,0.0,386013.0,-59.7,-38.47,-16.98,-11.17,-15.14,-31.2,22.05,-21.18,-17.7
16,1,0.0,385734.0,-58.79,-37.72,-16.56,-10.46,-13.54,-29.82,21.08,-20.09,-16.51
17,1,0.0,386213.0,-58.23,-37.19,-16.36,-10.0,-12.38,-29.77,20.33,-19.14,-15.24
