,time,vehicle,x,y,east,north,coor,sinr,site
0,0,0,1874.39,1535.54,386122,6672100,3861226672100,15.5558,4
1,1,0,1874.75,1533.06,386122,6672098,3861226672098,13.9485,4
2,1,1,1359.77,1543.6,385607,6672108,3856076672108,6.5924,5
3,1,10,1346.29,1556.53,385594,6672121,3855946672121,12.0923,5
4,1,11,1030.45,1158.19,385278,6671723,3852786671723,4.0349,7
5,1,12,1743.78,1300.09,385991,6671865,3859916671865,23.7483,3
6,1,13,1615.72,1298.1,385863,6671863,3858636671863,6.3568,3
7,1,14,1771.05,843.97,386019,6671409,3860196671409,26.3004,6
8,1,15,1976.94,925.65,386224,6671490,3862246671490,29.1287,12
9,1,16,1769.56,891.15,386017,6671456,3860176671456,6.1252,6
10,1,17,1776.34,1110.26,386024,6671675,3860246671675,8.4755,3
11,1,18,1536.18,809.05,385784,6671374,3857846671374,4.2554,6
12,1,19,1101.26,1308.9,385349,6671874,3853496671874,7.9198,5
13,1,2,1975.72,983.76,386223,6671549,3862236671549,25.2921,12
14,1,20,1917.26,962.8,386165,6671528,3861656671528,34.8294,12
15,1,21,1869.08,549.58,386117,6671114,3861176671114,8.4475,6
16,1,22,1786.54,1110.62,386034,6671675,3860346671675,11.5835,3
17,1,23,1008.3,1018.17,385256,6671583,3852566671583,16.8572,1
18,1,24,1397.71,1306.46,385645,6671871,3856456671871,11.5639,7
19,1,25,1035.8,1290.79,385283,6671856,3852836671856,7.0267,5
20,1,26,1872.43,1232.39,386120,6671797,3861206671797,11.0542,3
21,1,27,1227.55,683.36,385475,6671248,3854756671248,10.6958,11
22,1,28,1234.97,1457.58,385483,6672022,3854836672022,14.2450,5
23,1,29,1776.36,680.54,386024,6671245,3860246671245,17.1192,6
24,1,3,1868.18,1223.56,386116,6671788,3861166671788,9.3515,3
25,1,30,1257.92,636.26,385505,6671201,3855056671201,5.5056,11
26,1,31,1551.14,1284.87,385799,6671850,3857996671850,2.0790,8
27,1,32,1247.99,793.07,385496,6671358,3854966671358,9.8324,2
28,1,33,1830.95,1231.98,386079,6671797,3860796671797,25.9561,3
29,1,34,1299.54,953.95,385547,6671519,3855476671519,4.3545,8
30,1,35,1094.51,885.44,385342,6671450,3853426671450,10.9143,1
31,1,36,1677.18,1299.21,385925,6671864,3859256671864,23.5731,3
32,1,37,1313.97,1133.77,385562,6671699,3855626671699,11.7604,8
33,1,38,1239.85,1295.68,385487,6671861,3854876671861,25.2929,7
34,1,39,1164.06,865.3,385412,6671430,3854126671430,6.5877,1
35,1,4,1981.91,818.64,386229,6671383,3862296671383,12.6533,12
36,1,40,1982.84,790.63,386230,6671355,3862306671355,16.8887,12
37,1,42,1983.18,781.63,386231,6671346,3862316671346,12.9783,12
38,1,43,1121.09,844.82,385369,6671410,3853696671410,6.3351,1
39,1,45,1420.7,655.57,385668,6671220,3856686671220,34.5806,9
40,1,47,1862.83,909.38,386110,6671474,3861106671474,7.2734,12
41,1,48,1174.62,1424.76,385422,6671990,3854226671990,19.1559,5
42,1,49,1056.19,944.87,385304,6671510,3853046671510,17.4015,1
43,1,5,1178.52,1419.1,385426,6671984,3854266671984,20.7409,5
44,1,6,1571.03,1292.71,385819,6671858,3858196671858,11.2225,8
45,1,7,1782.58,806.8,386030,6671372,3860306671372,24.4884,6
46,1,9,1970.64,965.93,386218,6671531,3862186671531,22.8924,12
47,2,0,1877.28,1529.76,386125,6672095,3861256672095,6.5888,10
48,2,1,1361.14,1541.72,385609,6672107,3856096672107,7.1188,5
49,2,10,1349.72,1557.27,385597,6672122,3855976672122,11.2680,5
50,2,11,1031.74,1159.05,385279,6671724,3852796671724,4.0625,7
51,2,12,1742.38,1300.08,385990,6671865,3859906671865,23.6950,3
52,2,13,1614.55,1294.97,385862,6671860,3858626671860,6.0610,3
53,2,14,1771.11,842.39,386019,6671407,3860196671407,26.1826,6
54,2,15,1976.96,925.28,386225,6671490,3862256671490,28.7842,12
55,2,16,1769.61,889.61,386017,6671454,3860176671454,6.4927,6
56,2,17,1778.48,1110.33,386026,6671675,3860266671675,8.6833,3
57,2,18,1537.46,807.09,385785,6671372,3857856671372,4.5713,6
58,2,19,1103.52,1308.52,385351,6671873,3853516671873,8.3045,5
59,2,2,1975.73,983.5,386223,6671548,3862236671548,25.0458,12
60,2,20,1918.93,962.82,386166,6671528,3861666671528,34.2315,12
61,2,21,1871.68,549.65,386119,6671114,3861196671114,8.0408,6
62,2,22,1788.56,1110.69,386036,6671676,3860366671676,11.4749,3
63,2,23,1009.38,1016.53,385257,6671581,3852576671581,17.0432,1
64,2,24,1399.46,1307.13,385647,6671872,3856476671872,11.2987,7
65,2,25,1035.01,1292.35,385283,6671857,3852836671857,7.0020,5
66,2,26,1873.96,1232.4,386122,6671797,3861226671797,10.6305,3
67,2,27,1228.57,681.77,385476,6671247,3854766671247,10.6599,11
68,2,28,1234.75,1457.95,385482,6672023,3854826672023,14.2859,5
69,2,29,1776.44,678.05,386024,6671243,3860246671243,17.0516,6
70,2,3,1866.45,1225.07,386114,6671790,3861146671790,10.0454,3
71,2,30,1258.89,634.8,385506,6671200,3855066671200,6.0266,11
72,2,31,1552.18,1281.84,385800,6671847,3858006671847,8.0434,8
73,2,32,1249.6,794.12,385497,6671359,3854976671359,9.9607,2
74,2,33,1833.2,1232.03,386081,6671797,3860816671797,26.4171,3
75,2,34,1301.16,955.03,385549,6671520,3855496671520,4.0994,8
76,2,35,1098.54,885.13,385346,6671450,3853466671450,9.7963,1
77,2,36,1674.97,1299.19,385923,6671864,3859236671864,23.5498,3
78,2,37,1311.97,1132.47,385560,6671697,3855606671697,17.8940,8
79,2,38,1241.62,1296.83,385489,6671862,3854896671862,25.3323,7
80,2,39,1165.2,866.04,385413,6671431,3854136671431,6.5073,1
81,2,4,1981.88,821.24,386229,6671386,3862296671386,12.6144,12
82,2,40,1982.77,792.75,386230,6671358,3862306671358,16.7342,12
83,2,42,1983.18,781.63,386231,6671346,3862316671346,12.9783,12
84,2,43,1121.91,843.45,385369,6671408,3853696671408,6.3865,1
85,2,45,1421.83,656.31,385669,6671221,3856696671221,34.8249,9
86,2,47,1860.42,909.31,386108,6671474,3861086671474,7.5306,12
87,2,48,1172.7,1423.39,385420,6671988,3854206671988,18.7814,5
88,2,49,1057.21,943.29,385305,6671508,3853056671508,19.0832,1
89,2,5,1179.27,1419.59,385427,6671984,3854276671984,20.5454,5
90,2,6,1572.92,1289.84,385820,6671855,3858206671855,12.6760,8
91,2,7,1783.46,806.83,386031,6671372,3860316671372,24.4212,6
92,2,8,1779.76,806.72,386027,6671372,3860276671372,24.6091,6
93,2,9,1969.2,965.94,386217,6671531,3862176671531,23.2610,12
94,3,0,1883.97,1528.97,386132,6672094,3861326672094,11.2380,10
95,3,1,1363.95,1537.88,385612,6672103,3856126672103,10.0437,5
96,3,10,1349.94,1556.99,385597,6672122,3855976672122,11.2680,5
97,3,11,1034.87,1161.15,385282,6671726,3852826671726,4.1128,7
98,3,12,1739.34,1300.04,385987,6671865,3859876671865,23.7429,3
99,3,13,1611.59,1295.6,385859,6671860,3858596671860,5.6988,3
100,3,14,1771.23,838.23,386019,6671403,3860196671403,26.1197,6
101,3,15,1977.05,921.77,386225,6671487,3862256671487,28.6973,12
102,3,16,1770.34,886.62,386018,6671451,3860186671451,7.3395,6
103,3,17,1781.0,1110.42,386029,6671675,3860296671675,9.6471,3
104,3,18,1539.52,803.92,385787,6671369,3857876671369,5.0092,6
105,3,19,1103.31,1311.63,385351,6671876,3853516671876,8.6392,5
106,3,2,1975.78,981.51,386223,6671546,3862236671546,25.2661,12
107,3,20,1922.36,962.87,386170,6671528,3861706671528,32.4025,12
108,3,21,1876.13,549.79,386124,6671115,3861246671115,4.8328,6
109,3,22,1792.78,1110.84,386040,6671676,3860406671676,11.8894,3
110,3,23,1011.82,1012.82,385259,6671578,3852596671578,17.4463,1
111,3,24,1402.6,1305.27,385650,6671870,3856506671870,11.2426,7
