,time,vehicle,x,y,east,north,coor,sinr,site
0,0,0,1325.09,1593.09,385573,6672158,3.85574E+12,3.4876,10
1,0,1,1872.1,974.11,386120,6671539,3.86121E+12,13.4917,12
2,0,2,1781.81,597.13,386029,6671162,3.8603E+12,12.2716,6
4,0,4,1575.83,1276.77,385823,6671842,3.85824E+12,-5.327,3
5,0,6,1033.54,606.03,385281,6671171,3.85282E+12,10.947,11
6,0,7,1993.3,1305.95,386241,6671871,3.86242E+12,15.393,3
7,1,0,1329.91,1586.04,385577,6672151,3.85578E+12,2.4192,10
8,1,1,1872.06,965.46,386120,6671530,3.86121E+12,14.1684,12
9,1,2,1781.66,603.09,386029,6671168,3.8603E+12,19.0099,6
11,1,4,1575.83,1276.77,385823,6671842,3.85824E+12,-5.327,3
12,1,6,1038.42,612.15,385286,6671177,3.85287E+12,11.7748,11
13,1,7,1985.78,1305.8,386233,6671871,3.86234E+12,6.3783,3
14,2,0,1334.51,1579.31,385582,6672144,3.85583E+12,0.7934,10
15,2,1,1871.44,957.01,386119,6671522,3.8612E+12,13.9781,12
16,2,2,1781.51,609.28,386029,6671174,3.8603E+12,18.8711,6
18,2,4,1575.83,1276.77,385823,6671842,3.85824E+12,-5.327,3
19,2,6,1043.67,618.75,385291,6671184,3.85292E+12,11.8013,11
20,2,7,1977.38,1305.59,386225,6671870,3.86226E+12,5.3268,3
21,3,0,1339.33,1572.27,385587,6672137,3.85588E+12,-0.6478,10
22,3,1,1871.16,949.22,386119,6671514,3.8612E+12,0.7557,4
23,3,2,1781.36,615.25,386029,6671180,3.8603E+12,18.411,6
25,3,4,1575.83,1276.77,385823,6671842,3.85824E+12,-5.327,3
26,3,6,1048.41,624.7,385296,6671190,3.85297E+12,12.4955,11
27,3,7,1968.87,1305.34,386216,6671870,3.86217E+12,8.521,3
28,4,0,1346.72,1566.81,385594,6672132,3.85595E+12,8.9952,5
29,4,1,1871.29,940.74,386119,6671506,3.8612E+12,0.8165,4
30,4,2,1781.25,621.07,386029,6671186,3.8603E+12,18.3569,6
32,4,4,1575.83,1276.77,385823,6671842,3.85824E+12,-5.327,3
33,4,6,1053.44,630.91,385301,6671196,3.85302E+12,12.979,11
34,4,7,1960.48,1305.09,386208,6671870,3.86209E+12,8.6839,3
35,5,0,1351.72,1559.95,385599,6672125,3.856E+12,3.0508,5
36,5,1,1871.4,933.2,386119,6671498,3.8612E+12,2.7246,12
37,5,2,1781.07,627.83,386029,6671193,3.8603E+12,18.3594,6
38,5,3,1225.4,527.02,385473,6671092,3.85474E+12,-2.8954,9
39,5,4,1574.32,1278.78,385822,6671844,3.85823E+12,-5.7323,3
40,5,6,1058.19,636.58,385306,6671201,3.85307E+12,13.58,11
41,5,7,1952.56,1304.85,386200,6671870,3.86201E+12,17.5988,3
42,6,0,1356.04,1554.7,385604,6672120,3.85605E+12,0.2206,10
43,6,1,1871.53,925.08,386119,6671490,3.8612E+12,0.6695,12
44,6,2,1780.88,634.19,386028,6671199,3.86029E+12,18.3762,6
45,6,3,1231.96,531.29,385480,6671096,3.85481E+12,-2.0812,9
46,6,4,1571.76,1282.29,385819,6671847,3.8582E+12,-5.619,8
47,6,6,1063.65,642.89,385311,6671208,3.85312E+12,15.205,11
48,6,7,1945.13,1304.63,386193,6671869,3.86194E+12,17.7405,3
