,time,id,x,y,speed,east,north,coor,sinr,site
0,0,1,1865.2,1215.56,8.83,386112,6671780,3861126671780,10.8245,3
1,1,1,1865.43,1207.07,8.59,386112,6671771,3861126671771,10.8084,3
2,2,1,1865.65,1198.86,8.22,386113,6671763,3861136671763,10.3108,3
3,3,1,1865.88,1190.78,8.08,386113,6671755,3861136671755,11.7777,3
4,4,1,1866.11,1182.11,8.78,386113,6671746,3861136671746,11.3356,3
5,5,1,1866.27,1176.74,8.11,386113,6671741,3861136671741,10.5505,3
6,6,1,1866.48,1168.85,7.9,386114,6671733,3861146671733,9.2188,3
7,7,1,1866.7,1160.84,8.12,386114,6671725,3861146671725,7.8291,3
8,8,1,1866.91,1153.17,7.67,386114,6671718,3861146671718,6.8991,4
9,8,4,1620.35,1214.11,7.82,385867,6671778,3858676671778,5.4474,3
10,9,1,1867.11,1145.75,7.63,386114,6671710,3861146671710,7.8876,4
11,9,4,1616.26,1219.7,6.93,385863,6671784,3858636671784,5.9742,3
12,10,1,1867.3,1138.69,7.96,386114,6671703,3861146671703,8.6225,4
13,10,4,1611.88,1225.68,7.41,385859,6671790,3858596671790,7.1999,3
14,11,1,1867.55,1129.86,8.83,386115,6671694,3861156671694,9.4151,4
15,11,4,1608.0,1231.07,6.67,385855,6671795,3858556671795,6.7065,3
16,12,1,1867.72,1123.32,6.75,386115,6671688,3861156671688,9.7110,4
17,12,4,1603.88,1236.89,7.14,385851,6671801,3858516671801,6.8500,3
18,13,1,1867.94,1115.59,7.9,386115,6671680,3861156671680,10.1599,4
19,13,4,1599.89,1242.57,6.94,385847,6671807,3858476671807,6.7359,3
20,14,1,1868.19,1107.57,8.02,386115,6671672,3861156671672,10.7633,4
21,14,4,1595.74,1248.48,7.22,385843,6671813,3858436671813,5.3719,3
22,15,1,1868.47,1099.41,8.26,386116,6671664,3861166671664,11.2012,4
23,15,4,1591.35,1254.74,7.66,385838,6671819,3858386671819,4.4325,3
24,16,1,1868.72,1091.83,7.59,386116,6671656,3861166671656,11.8730,4
25,16,4,1587.09,1260.81,7.42,385834,6671825,3858346671825,3.9170,3
26,17,1,1868.97,1084.2,7.74,386116,6671649,3861166671649,11.9317,4
27,17,4,1583.01,1266.62,7.1,385830,6671831,3858306671831,3.2365,3
28,18,1,1869.24,1075.96,8.25,386116,6671640,3861166671640,10.9924,4
29,18,4,1578.72,1272.75,7.48,385826,6671837,3858266671837,2.5033,3
30,19,1,1869.49,1068.62,7.44,386117,6671633,3861176671633,8.9605,4
31,19,4,1576.38,1276.05,3.98,385823,6671840,3858236671840,2.1092,3
32,19,6,956.84,544.95,8.42,385204,6671109,3852046671109,15.9749,11
33,20,1,1869.63,1064.62,4.0,386117,6671629,3861176671629,9.1123,4
34,20,4,1576.09,1276.43,0.48,385823,6671841,3858236671841,1.9065,3
35,20,6,963.81,549.56,8.32,385211,6671114,3852116671114,22.3335,11
36,21,1,1869.8,1059.21,5.41,386117,6671624,3861176671624,11.0399,4
37,21,4,1575.96,1276.6,0.22,385823,6671841,3858236671841,1.9065,3
38,21,6,970.45,553.96,7.93,385218,6671118,3852186671118,26.1593,11
39,22,1,1870.04,1052.05,7.17,386117,6671616,3861176671616,10.3515,4
40,22,4,1575.89,1276.69,0.12,385823,6671841,3858236671841,1.9065,3
41,22,6,976.44,557.92,7.16,385223,6671122,3852236671122,26.3249,11
42,23,1,1870.29,1044.15,7.99,386117,6671608,3861176671608,10.1638,4
43,23,4,1575.83,1276.77,0.09,385823,6671841,3858236671841,1.9065,3
44,23,6,982.68,562.04,7.44,385230,6671126,3852306671126,26.2775,11
45,24,1,1870.52,1035.91,8.24,386118,6671600,3861186671600,9.7279,4
46,24,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
47,24,6,988.69,566.02,7.18,385236,6671130,3852366671130,26.6201,11
48,25,1,1870.74,1027.97,8.05,386118,6671592,3861186671592,10.2110,4
49,25,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
50,25,6,995.32,570.4,7.92,385242,6671135,3852426671135,17.0128,11
51,26,1,1870.97,1019.88,8.19,386118,6671584,3861186671584,11.7939,4
52,26,2,1782.73,560.32,6.92,386030,6671125,3860306671125,12.7131,6
53,26,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
54,26,6,1001.98,574.8,7.95,385249,6671139,3852496671139,17.6261,11
55,26,7,2041.54,1307.11,8.58,386289,6671871,3862896671871,11.1456,3
56,27,1,1871.18,1012.11,7.77,386118,6671576,3861186671576,11.1555,4
57,27,2,1782.59,565.96,5.64,386030,6671130,3860306671130,13.1961,6
58,27,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
59,27,6,1007.97,578.76,7.16,385255,6671143,3852556671143,17.7666,11
60,27,7,2033.51,1306.91,8.04,386281,6671871,3862816671871,21.9191,3
61,28,0,1304.04,1618.19,8.71,385551,6672183,3855516672183,9.9635,10
62,28,1,1871.39,1004.48,7.63,386118,6671569,3861186671569,10.3024,4
