,time,id,x,y,speed,east,north,coor,sinr,site
0,0,0,1559.25,1287.62,0,385806,6671852,3.85807E+12,3.2831,8
1,1,0,1556.78,1286.79,2.6,385804,6671851,3.85805E+12,3.3386,8
2,2,0,1552.14,1285.21,4.9,385799,6671850,3.858E+12,2.079,8
3,3,0,1545.58,1282.85,6.86,385793,6671847,3.85794E+12,1.7337,8
4,4,0,1540.67,1280.49,5.35,385788,6671845,3.85789E+12,1.6016,8
5,5,0,1539.91,1280.09,0.85,385787,6671844,3.85788E+12,1.6449,8
6,6,0,1539.72,1279.99,0.21,385787,6671844,3.85788E+12,1.6449,8
7,7,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
8,8,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
9,9,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
10,10,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
11,10,1,1860.32,1232.43,0,386107,6671797,3.86108E+12,19.9379,3
12,11,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
13,11,1,1861.93,1232.18,1.63,386109,6671797,3.8611E+12,17.9341,3
14,12,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
15,12,1,1864.33,1230.12,3.3,386111,6671794,3.86112E+12,11.3141,3
16,13,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
17,13,1,1864.93,1225.24,4.96,386112,6671790,3.86113E+12,10.2488,3
18,14,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
19,14,1,1865.14,1217.74,7.51,386112,6671782,3.86113E+12,10.3871,3
20,15,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
21,15,1,1865.34,1210.16,7.58,386112,6671775,3.86113E+12,11.2159,3
22,16,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
23,16,1,1865.52,1203.69,6.58,386113,6671768,3.86114E+12,10.5294,3
24,17,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
25,17,1,1865.72,1196.49,7.21,386113,6671761,3.86114E+12,9.8071,3
26,18,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
27,18,1,1865.91,1189.43,7.07,386113,6671754,3.86114E+12,11.8357,3
28,19,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
29,19,1,1866.12,1181.77,7.76,386113,6671746,3.86114E+12,11.3356,3
30,20,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
31,20,1,1866.25,1177.41,7.1,386113,6671742,3.86114E+12,10.7189,3
32,20,2,1856.09,1232.45,0,386103,6671797,3.86104E+12,21.7661,3
33,21,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
34,21,1,1866.44,1170.34,7.07,386113,6671735,3.86114E+12,9.4847,3
35,21,2,1858.08,1232.44,1.99,386105,6671797,3.86106E+12,20.741,3
36,22,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
37,22,1,1866.62,1163.66,6.69,386114,6671728,3.86115E+12,8.331,3
38,22,2,1862.59,1231.92,4.59,386110,6671796,3.86111E+12,15.0652,3
39,23,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
40,23,1,1866.83,1156.06,7.7,386114,6671720,3.86115E+12,7.0377,3
